candidateId,action,type,region,city,name,address,phone,website,googleMapsUri,businessStatus,possibleProviderIds,duplicateSignals,reviewReasons
google-place-chijqr0qio5-c20r69y0bp-k3p8,research_new_provider,psychiatrist,Northland,Whangarei,EAP Services Limited (Northland),"Unit 6/32/48 Reyburn Street, Whangārei 0110",0800 327 669,https://www.eapservices.co.nz/,https://maps.google.com/?cid=18436834171184010987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,"Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; missing signals: local psychiatrist or psychiatry pathway | 16 GP corroboration tasks | Google Places discovery/corroboration only; new candidate needs corroboration"
google-place-chijjwb3amd-c20rjwf9-g8okwk,research_new_provider,psychiatrist,Northland,Whangarei,J Counselling,"10/212 Riverside Drive, Whangārei 0110",,https://www.jcounselling.com/,https://maps.google.com/?cid=7577632309402992935&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,"Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; missing signals: local psychiatrist or psychiatry pathway | 16 GP corroboration tasks | Google Places discovery/corroboration only; new candidate needs corroboration"
google-place-chijh5qdey3qwyernnbmkuer9tg,research_new_provider,psychiatrist,Northland,Whangarei,Kinder Minds,"127A Lower Dent Street, Whangārei 0110",022 360 5027,https://kinderminds.nz/,https://maps.google.com/?cid=4104346370239680564&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,"Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; missing signals: local psychiatrist or psychiatry pathway | 16 GP corroboration tasks | Google Places discovery/corroboration only; new candidate needs corroboration"
google-place-chijqwx3vyv-c20rgkjh7zmjbp4,research_new_provider,psychiatrist,Northland,Whangarei,Northland Psychiatry,"41 Whau Valley Road, Whau Valley, Whangārei 0112",09 553 3255,https://www.northlandpsychiatry.co.nz/,https://maps.google.com/?cid=18303934254773520410&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,"Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; missing signals: local psychiatrist or psychiatry pathway | 16 GP corroboration tasks | Google Places discovery/corroboration only; new candidate needs corroboration"
google-place-chij-xinscp-c20rjwbalvalita,research_new_provider,psychiatrist,Northland,Whangarei,Whangarei Care Centre,"1 Mill Road, Regent, Whangārei 0112",09 437 6397,http://www.whgcare.org.nz/,https://maps.google.com/?cid=14997562149834876453&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,"Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; missing signals: local psychiatrist or psychiatry pathway | 16 GP corroboration tasks | Google Places discovery/corroboration only; new candidate needs corroboration"
google-place-chijtfo5x-1-c20r4obigwvmofg,research_new_provider,psychologist,Northland,Whangarei,Elke Radewald Psychology services,"28 Rathbone Street, CBD, Whangārei 0110",027 371 9720,,https://maps.google.com/?cid=6386216445474824416&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,"Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; missing signals: local psychiatrist or psychiatry pathway | 16 GP corroboration tasks | Google Places discovery/corroboration only; new candidate needs corroboration"
google-place-chijdtha5pv8u40rpmdatxxh-0,research_new_provider,unknown,Northland,Whangarei,Rosemary Clempson Carnell Therapist,"Wellness Centre Level 1/25 Rathbone Street, Whangārei 0110",,,https://maps.google.com/?cid=17149673799973627710&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,"Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; missing signals: local psychiatrist or psychiatry pathway | 16 GP corroboration tasks | Google Places discovery/corroboration only; new candidate needs corroboration; conflicting Google Places search query types: psychologist, psychiatrist; confirm provider type from a stronger source"
google-place-chij4aukrdt-c20rovig7habbsm,corroborate_existing_provider,psychologist,Northland,Whangarei,Dr. Maria Rotella,"69 Bank Street, CBD, Whangārei 0110",022 627 0324,https://drmariarotella.co.nz/,https://maps.google.com/?cid=14082363607620842042&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,northland-maria-rotella-clinical-psychologist,phone; website-domain; name,"Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; missing signals: local psychiatrist or psychiatry pathway | 16 GP corroboration tasks | Google Places discovery/corroboration only; conflicting Google Places search query types: psychologist, psychiatrist; confirm provider type from a stronger source; conflicting Google Places search query types: psychologist, psychiatrist; confirm provider type from a stronger source; existing matched provider type kept as psychologist; possible existing provider match: northland-maria-rotella-clinical-psychologist"
google-place-chiji0dqma1hdw0rhfj2bk1mtrc,corroborate_existing_provider,gp,Auckland,Sandringham,168 Health & Medical Centre,"170 Sandringham Road, Sandringham, Auckland 1025",09 846 7311,,https://maps.google.com/?cid=13208578652573725317&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,gp-168-medical-centre-36-8780-174-7410,phone; address,"Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; GP source corroboration task | GP record needs stronger corroboration: missing website; DoctorPricer-derived source. | missing fields: website | Google Places discovery/corroboration only; target GP source-corroboration provider: gp-168-medical-centre-36-8780-174-7410; Google Places result is 0 km from the query centre.; possible existing provider match: gp-168-medical-centre-36-8780-174-7410"
google-place-chijzex4plhgdw0ruhjrb7qbt0c,corroborate_existing_provider,gp,Auckland,Sandringham,Alberton Medical Practice,"230 Mount Albert Road, Sandringham, Wesley 1025",09 629 2088,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/alberton-medical-practice/,https://maps.google.com/?cid=5138496923150416056&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,gp-alberton-medical-practice-36-8959-174-7319,phone; name,"Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; GP source corroboration task | GP record needs stronger corroboration: missing website; DoctorPricer-derived source. | missing fields: website | Google Places discovery/corroboration only; target GP source-corroboration provider: gp-alberton-medical-practice-36-8959-174-7319; Google Places result is 0 km from the query centre.; possible existing provider match: gp-alberton-medical-practice-36-8959-174-7319"
