packId,providerId,name,region,city,priority,recommendedAction,missingFields,currentPhone,candidatePhone,currentWebsite,candidateWebsite,sourceCategory,matchSignals,conflictingProviderIds,sourceCaptureStatus,sourceCaptureFinalUrl,suggestedSourceExcerpt,draftCorrectedFields
"gp-pack:gp-m-ori-hill-clinic-45-8581-170-5008","gp-m-ori-hill-clinic-45-8581-170-5008","Māori Hill Clinic","Otago","Dunedin","ready_for_source_capture","review_and_capture_source_excerpt","website","(03) 464 0044","03 464 0044","","http://www.maorihillclinic.online/","practice_or_network_site","phone; name; address","","","","","{""website"":""http://www.maorihillclinic.online/"",""source"":""http://www.maorihillclinic.online/"",""sourceQuality"":""practice or clinic network website; pending human source-excerpt review""}"
"gp-pack:gp-western-heights-health-centre-38-1288-176-2199","gp-western-heights-health-centre-38-1288-176-2199","Western Heights Health Centre","Rotorua and Taupo","Rotorua","ready_for_source_capture","review_and_capture_source_excerpt","website","(07) 347 0565","07 347 0565","","http://www.westernheightshealth.co.nz/","practice_or_network_site","phone; name; address","","","","","{""website"":""http://www.westernheightshealth.co.nz/"",""source"":""http://www.westernheightshealth.co.nz/"",""sourceQuality"":""practice or clinic network website; pending human source-excerpt review""}"
"gp-pack:gp-all-care-family-medical-centre-ponsonby-36-8518-174-7452","gp-all-care-family-medical-centre-ponsonby-36-8518-174-7452","All Care Family Medical Centre - Ponsonby","Auckland","Ponsonby","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 376 5580","09 376 5580","","https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/all-care-family-medical-centre-ponsonby-1/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/all-care-family-medical-centre-ponsonby-1/"",""source"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/all-care-family-medical-centre-ponsonby-1/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-archers-medical-centre-36-7846-174-7340","gp-archers-medical-centre-36-7846-174-7340","Archers Medical Centre","Auckland","Glenfield","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 444 9324","09 444 9324","","https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/archers-medical-centre/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/archers-medical-centre/"",""source"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/archers-medical-centre/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-clevedon-road-medical-centre-37-0621-174-9486","gp-clevedon-road-medical-centre-37-0621-174-9486","Clevedon Road Medical Centre","Auckland","Papakura","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 298 3110","09 298 3110","","https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/clevedon-road-medical-centre-1/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/clevedon-road-medical-centre-1/"",""source"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/clevedon-road-medical-centre-1/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-donovan-street-medical-centre-36-9224-174-7018","gp-donovan-street-medical-centre-36-9224-174-7018","Donovan Street Medical Centre","Auckland","Blockhouse Bay","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 627 1290","09 627 1290","","https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/donovan-street-medical-centre/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/donovan-street-medical-centre/"",""source"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/donovan-street-medical-centre/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-eastern-family-doctors-36-9008-174-9047","gp-eastern-family-doctors-36-9008-174-9047","Eastern Family Doctors","Auckland","Highland Park","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 222 0168","09 222 0168","","https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/eastern-family-doctors/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/eastern-family-doctors/"",""source"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/eastern-family-doctors/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-forrest-hill-family-medical-centre-36-7603-174-7471","gp-forrest-hill-family-medical-centre-36-7603-174-7471","Forrest Hill Family Medical Centre","Auckland","Forrest Hill","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 410 5411","09 410 5411","","http://www.healthpoint.co.nz/doctors/gp/forrest-hill-family-medical-centre/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""http://www.healthpoint.co.nz/doctors/gp/forrest-hill-family-medical-centre/"",""source"":""http://www.healthpoint.co.nz/doctors/gp/forrest-hill-family-medical-centre/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-onehunga-family-medical-centre-36-9235-174-7856","gp-onehunga-family-medical-centre-36-9235-174-7856","Onehunga Family Medical Centre","Auckland","Onehunga","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 636 6267","09 636 6267","","https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/onehunga-family-medical-centre","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/onehunga-family-medical-centre"",""source"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/onehunga-family-medical-centre"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-t-huhu-family-doctors-36-9441-174-8406","gp-t-huhu-family-doctors-36-9441-174-8406","Ōtāhuhu Family Doctors","Auckland","Ōtāhuhu","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 276 1339","09 276 1339","","https://www.healthpoint.co.nz/doctors/general-practitioner/dr-weng-key-chan/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/doctors/general-practitioner/dr-weng-key-chan/"",""source"":""https://www.healthpoint.co.nz/doctors/general-practitioner/dr-weng-key-chan/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-penrose-clinic-36-9103-174-8170","gp-penrose-clinic-36-9103-174-8170","Penrose Clinic","Auckland","Penrose","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 579 4784","09 579 4784","","https://www.healthpoint.co.nz/doctors/gp/penrose-clinic/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/doctors/gp/penrose-clinic/"",""source"":""https://www.healthpoint.co.nz/doctors/gp/penrose-clinic/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-surrey-medical-centre-36-8637-174-7368","gp-surrey-medical-centre-36-8637-174-7368","Surrey Medical Centre","Auckland","Grey Lynn","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 376 4658","09 376 4658","","https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/surrey-medical-centre/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/surrey-medical-centre/"",""source"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/surrey-medical-centre/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-the-wood-street-doctors-37-0648-174-9415","gp-the-wood-street-doctors-37-0648-174-9415","The Wood Street Doctors","Auckland","Papakura","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 299 8194","09 299 8194","","https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/the-wood-street-doctors/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/the-wood-street-doctors/"",""source"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/the-wood-street-doctors/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-gilmore-family-medical-40-3626-175-6188","gp-gilmore-family-medical-40-3626-175-6188","Gilmore Family Medical","Manawatu-Whanganui","Manawatu-Wanganui","ready_for_source_capture","review_and_capture_source_excerpt","website","(06) 356 5099","06 356 5099","","https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/gilmore-family-medical/","healthpoint_gp_listing","phone; name; address","","","","","{""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/gilmore-family-medical/"",""source"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/gilmore-family-medical/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
"gp-pack:gp-commercial-street-surgery-35-3806-174-0683","gp-commercial-street-surgery-35-3806-174-0683","Commercial Street Surgery","Northland","Kawakawa","ready_for_source_capture","review_and_capture_source_excerpt","website","(09) 404 0885","09 404 0885","","https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/commercial-street-surgery/","healthpoint_gp_listing","gp-corroboration-target; name; phone","","","","","{""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/commercial-street-surgery/"",""source"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/commercial-street-surgery/"",""sourceQuality"":""Healthpoint GP listing; pending human source-excerpt review""}"
