"taskId","providerId","name","priority","region","city","address","phone","website","missingFields","source","sourceQuality","importSource","reviewReason","suggestedSearches"
"gp-corroborate:gp-the-auckland-city-doctors-36-8570-174-7616","gp-the-auckland-city-doctors-36-8570-174-7616","The Auckland City Doctors","medium","Auckland","Auckland","415 Queen Street, Auckland 1010","(09) 280 3555","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""The Auckland City Doctors"" ""Auckland"" GP NZ; ""The Auckland City Doctors"" ""415 Queen Street, Auckland 1010""; ""(09) 280 3555"" ""The Auckland City Doctors""; site:healthpoint.co.nz ""The Auckland City Doctors"" ""Auckland""; site:health.govt.nz ""The Auckland City Doctors"" ""Auckland""; ""The Auckland City Doctors"" ""Auckland"" ""medical centre"" NZ"
"gp-corroborate:gp-airport-doctors-36-9962-174-7882","gp-airport-doctors-36-9962-174-7882","Airport Doctors","medium","Auckland","Auckland Airport","3/400 George Bolt Memorial Drive, Auckland Airport, Auckland 2022","(09) 256 8655","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Airport Doctors"" ""Auckland Airport"" GP NZ; ""Airport Doctors"" ""3/400 George Bolt Memorial Drive, Auckland Airport, Auckland 2022""; ""(09) 256 8655"" ""Airport Doctors""; site:healthpoint.co.nz ""Airport Doctors"" ""Auckland Airport""; site:health.govt.nz ""Airport Doctors"" ""Auckland Airport""; ""Airport Doctors"" ""Auckland Airport"" ""medical centre"" NZ"
"gp-corroborate:gp-rosebank-road-medical-services-ltd-36-8944-174-6968","gp-rosebank-road-medical-services-ltd-36-8944-174-6968","Rosebank Road Medical Services Ltd.","medium","Auckland","Avondale","65 Rosebank Road, Avondale, Auckland 1026","(09) 828 8237","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Rosebank Road Medical Services Ltd."" ""Avondale"" GP NZ; ""Rosebank Road Medical Services Ltd."" ""65 Rosebank Road, Avondale, Auckland 1026""; ""(09) 828 8237"" ""Rosebank Road Medical Services Ltd.""; site:healthpoint.co.nz ""Rosebank Road Medical Services Ltd."" ""Avondale""; site:health.govt.nz ""Rosebank Road Medical Services Ltd."" ""Avondale""; ""Rosebank Road Medical Services Ltd."" ""Avondale"" ""medical centre"" NZ"
"gp-corroborate:gp-donovan-street-medical-centre-36-9224-174-7018","gp-donovan-street-medical-centre-36-9224-174-7018","Donovan Street Medical Centre","medium","Auckland","Blockhouse Bay","8 Donovan Street, Blockhouse Bay, Auckland 0600","(09) 627 1290","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Donovan Street Medical Centre"" ""Blockhouse Bay"" GP NZ; ""Donovan Street Medical Centre"" ""8 Donovan Street, Blockhouse Bay, Auckland 0600""; ""(09) 627 1290"" ""Donovan Street Medical Centre""; site:healthpoint.co.nz ""Donovan Street Medical Centre"" ""Blockhouse Bay""; site:health.govt.nz ""Donovan Street Medical Centre"" ""Blockhouse Bay""; ""Donovan Street Medical Centre"" ""Blockhouse Bay"" ""medical centre"" NZ"
"gp-corroborate:gp-te-manu-aute-whare-oranga-37-0252-174-8573","gp-te-manu-aute-whare-oranga-37-0252-174-8573","Te Manu Aute Whare Oranga","medium","Auckland","Clendon Park","81 Finlayson Avenue, Clendon Park, Auckland 2103","(09) 640 0824","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Te Manu Aute Whare Oranga"" ""Clendon Park"" GP NZ; ""Te Manu Aute Whare Oranga"" ""81 Finlayson Avenue, Clendon Park, Auckland 2103""; ""(09) 640 0824"" ""Te Manu Aute Whare Oranga""; site:healthpoint.co.nz ""Te Manu Aute Whare Oranga"" ""Clendon Park""; site:health.govt.nz ""Te Manu Aute Whare Oranga"" ""Clendon Park""; ""Te Manu Aute Whare Oranga"" ""Clendon Park"" ""medical centre"" NZ"
"gp-corroborate:gp-the-lakes-clinic-epsom-previously-epsom-medical-care-36-8863-174-7758","gp-the-lakes-clinic-epsom-previously-epsom-medical-care-36-8863-174-7758","The Lakes Clinic Epsom (previously Epsom Medical Care)","medium","Auckland","Epsom","272 Manukau Road, Epsom, Auckland 1023","(09) 523 3488","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""The Lakes Clinic Epsom (previously Epsom Medical Care)"" ""Epsom"" GP NZ; ""The Lakes Clinic Epsom (previously Epsom Medical Care)"" ""272 Manukau Road, Epsom, Auckland 1023""; ""(09) 523 3488"" ""The Lakes Clinic Epsom (previously Epsom Medical Care)""; site:healthpoint.co.nz ""The Lakes Clinic Epsom (previously Epsom Medical Care)"" ""Epsom""; site:health.govt.nz ""The Lakes Clinic Epsom (previously Epsom Medical Care)"" ""Epsom""; ""The Lakes Clinic Epsom (previously Epsom Medical Care)"" ""Epsom"" ""medical centre"" NZ"
"gp-corroborate:gp-forrest-hill-family-medical-centre-36-7603-174-7471","gp-forrest-hill-family-medical-centre-36-7603-174-7471","Forrest Hill Family Medical Centre","medium","Auckland","Forrest Hill","1/1 Grenada Avenue, Forrest Hill, Auckland 0620","(09) 410 5411","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Forrest Hill Family Medical Centre"" ""Forrest Hill"" GP NZ; ""Forrest Hill Family Medical Centre"" ""1/1 Grenada Avenue, Forrest Hill, Auckland 0620""; ""(09) 410 5411"" ""Forrest Hill Family Medical Centre""; site:healthpoint.co.nz ""Forrest Hill Family Medical Centre"" ""Forrest Hill""; site:health.govt.nz ""Forrest Hill Family Medical Centre"" ""Forrest Hill""; ""Forrest Hill Family Medical Centre"" ""Forrest Hill"" ""medical centre"" NZ"
"gp-corroborate:gp-archers-medical-centre-36-7846-174-7340","gp-archers-medical-centre-36-7846-174-7340","Archers Medical Centre","medium","Auckland","Glenfield","130 Archers Road, Glenfield, Auckland 0629","(09) 444 9324","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Archers Medical Centre"" ""Glenfield"" GP NZ; ""Archers Medical Centre"" ""130 Archers Road, Glenfield, Auckland 0629""; ""(09) 444 9324"" ""Archers Medical Centre""; site:healthpoint.co.nz ""Archers Medical Centre"" ""Glenfield""; site:health.govt.nz ""Archers Medical Centre"" ""Glenfield""; ""Archers Medical Centre"" ""Glenfield"" ""medical centre"" NZ"
"gp-corroborate:gp-surrey-medical-centre-36-8637-174-7368","gp-surrey-medical-centre-36-8637-174-7368","Surrey Medical Centre","medium","Auckland","Grey Lynn","26 Surrey Crescent, Grey Lynn, Auckland 1021","(09) 376 4658","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Surrey Medical Centre"" ""Grey Lynn"" GP NZ; ""Surrey Medical Centre"" ""26 Surrey Crescent, Grey Lynn, Auckland 1021""; ""(09) 376 4658"" ""Surrey Medical Centre""; site:healthpoint.co.nz ""Surrey Medical Centre"" ""Grey Lynn""; site:health.govt.nz ""Surrey Medical Centre"" ""Grey Lynn""; ""Surrey Medical Centre"" ""Grey Lynn"" ""medical centre"" NZ"
"gp-corroborate:gp-palomino-medical-centre-36-8830-174-6152","gp-palomino-medical-centre-36-8830-174-6152","Palomino Medical Centre","medium","Auckland","Henderson","Shop 8, 138 Sturges Road, Henderson, Auckland 0612","(09) 836 4898","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Palomino Medical Centre"" ""Henderson"" GP NZ; ""Palomino Medical Centre"" ""Shop 8, 138 Sturges Road, Henderson, Auckland 0612""; ""(09) 836 4898"" ""Palomino Medical Centre""; site:healthpoint.co.nz ""Palomino Medical Centre"" ""Henderson""; site:health.govt.nz ""Palomino Medical Centre"" ""Henderson""; ""Palomino Medical Centre"" ""Henderson"" ""medical centre"" NZ"
"gp-corroborate:gp-eastern-family-doctors-36-9008-174-9047","gp-eastern-family-doctors-36-9008-174-9047","Eastern Family Doctors","medium","Auckland","Highland Park","17 Aviemore Drive, Highland Park, Auckland 2010","(09) 222 0168","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Eastern Family Doctors"" ""Highland Park"" GP NZ; ""Eastern Family Doctors"" ""17 Aviemore Drive, Highland Park, Auckland 2010""; ""(09) 222 0168"" ""Eastern Family Doctors""; site:healthpoint.co.nz ""Eastern Family Doctors"" ""Highland Park""; site:health.govt.nz ""Eastern Family Doctors"" ""Highland Park""; ""Eastern Family Doctors"" ""Highland Park"" ""medical centre"" NZ"
"gp-corroborate:gp-family-health-care-medical-centre-36-8999-174-9088","gp-family-health-care-medical-centre-36-8999-174-9088","Family Health Care Medical Centre","medium","Auckland","Highland Park","17 Aberfeldy Ave, Highland Park, Auckland 2010","(09) 537 3208","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Family Health Care Medical Centre"" ""Highland Park"" GP NZ; ""Family Health Care Medical Centre"" ""17 Aberfeldy Ave, Highland Park, Auckland 2010""; ""(09) 537 3208"" ""Family Health Care Medical Centre""; site:healthpoint.co.nz ""Family Health Care Medical Centre"" ""Highland Park""; site:health.govt.nz ""Family Health Care Medical Centre"" ""Highland Park""; ""Family Health Care Medical Centre"" ""Highland Park"" ""medical centre"" NZ"
"gp-corroborate:gp-hillside-medical-centre-36-9261-174-7493","gp-hillside-medical-centre-36-9261-174-7493","Hillside Medical Centre","medium","Auckland","Hillsborough","711 Richardson Road, Hillsborough, Auckland 1042","(09) 625 9068","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Hillside Medical Centre"" ""Hillsborough"" GP NZ; ""Hillside Medical Centre"" ""711 Richardson Road, Hillsborough, Auckland 1042""; ""(09) 625 9068"" ""Hillside Medical Centre""; site:healthpoint.co.nz ""Hillside Medical Centre"" ""Hillsborough""; site:health.govt.nz ""Hillside Medical Centre"" ""Hillsborough""; ""Hillside Medical Centre"" ""Hillsborough"" ""medical centre"" NZ"
"gp-corroborate:gp-howick-medical-practice-36-8952-174-9335","gp-howick-medical-practice-36-8952-174-9335","Howick Medical Practice","medium","Auckland","Howick","128 Picton Street, Howick, Auckland 2014","(09) 535 1610","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Howick Medical Practice"" ""Howick"" GP NZ; ""Howick Medical Practice"" ""128 Picton Street, Howick, Auckland 2014""; ""(09) 535 1610"" ""Howick Medical Practice""; site:healthpoint.co.nz ""Howick Medical Practice"" ""Howick""; site:health.govt.nz ""Howick Medical Practice"" ""Howick""; ""Howick Medical Practice"" ""Howick"" ""medical centre"" NZ"
"gp-corroborate:gp-all-care-family-medical-centre-northcote-36-8071-174-7412","gp-all-care-family-medical-centre-northcote-36-8071-174-7412","All Care Family Medical Centre - Northcote","medium","Auckland","Kaipātiki","26 Kawana Street, Northcote, Kaipātiki, Auckland 0627","(09) 419 1267","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""All Care Family Medical Centre - Northcote"" ""Kaipātiki"" GP NZ; ""All Care Family Medical Centre - Northcote"" ""26 Kawana Street, Northcote, Kaipātiki, Auckland 0627""; ""(09) 419 1267"" ""All Care Family Medical Centre - Northcote""; site:healthpoint.co.nz ""All Care Family Medical Centre - Northcote"" ""Kaipātiki""; site:health.govt.nz ""All Care Family Medical Centre - Northcote"" ""Kaipātiki""; ""All Care Family Medical Centre - Northcote"" ""Kaipātiki"" ""medical centre"" NZ"
