reviewId,reviewCategory,providerId,name,clinicianName,practiceName,type,region,city,address,lat,lon,phone,text,email,website,bookingUrl,source,sourceQuality,confidence,needsManualVerification,verified,lastVerified,availabilityStatus,availabilityCheckedAt,availabilityEvidence,availabilitySource,availabilityNeedsManualReview,requiresReferral,referralType,referralSourceUrl,referralSourceExcerpt,referralConfidence,referralLastChecked,referralNeedsManualReview,tags,needScope,baselineScope,baselineScopeSource,baselineScopeNote,advertisedSpecialties,advertisedSpecialtyEvidence,specialtyTagsSource,specialties,services,patientGroups,ageGroups,onlineAvailable,phoneSupport,inPerson,crisisOnly,auditSeverity,auditRules,auditIssues,suggestedFixes,reviewPriority,priorityScore,reviewReasons,sourceUrls,sourceEvidenceSummary,publicCardPreviewText,reviewDecision,correctedFields,reviewer,reviewedDate,reviewNotes
provider:canterbury-mherc,Directory/direct-contact confusion,canterbury-mherc,Mental Health Education and Resource Centre,,,directory,Canterbury,Christchurch,"Level 1, 12 Hazeldean Road, Addington, Christchurch",,,033655344,,admin@mherc.org.nz,https://mherc.org.nz/contact,,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/mental-health-education-and-resource-centre/,trusted health directory,medium,true,2026-05,2026-05,not_published,2026-05,,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/mental-health-education-and-resource-centre/,false,,,,,,,,directory; fit; cost; depression; anxiety,,,,,,,,,,,,,,,,high,directory-treated-direct,Directory record has direct-contact signals and may be treated like a provider.,Remove direct-contact signals from directories and only expose website navigation.,critical,6620,high: directory-treated-direct; provider details need manual verification; address missing coordinates,https://mherc.org.nz/contact; https://www.healthpoint.co.nz/mental-health-addictions/mental-health/mental-health-education-and-resource-centre/,source-fit audit: Directory record has direct-contact signals and may be treated like a provider.,"Mental Health Education and Resource Centre Canterbury / Christchurch Local Canterbury mental health directory and resource centre; useful when finding a good fit feels hard. Call or email and ask which local service fits your situation, budget, and preferred contact style. Directory and resources Availability: not_published",,{},,,
provider:national-family-services-directory,Directory/direct-contact confusion,national-family-services-directory,Family Services Directory / 211 Helpline,,,directory,National,Aotearoa New Zealand,,,,0800211211,,,https://www.familyservices.govt.nz/directory/,,https://www.justice.govt.nz/family/family-court/help/general-help-and-services-for-you-and-your-whanau/organisations-to-help-you/,official government or health agency,medium,true,2026-05,2026-05,not_published,2026-05,,https://www.justice.govt.nz/family/family-court/help/general-help-and-services-for-you-and-your-whanau/organisations-to-help-you/,false,,,,,,,,directory; cost; housing; family; fit,,,,,,,,,,,,,,,,high,directory-treated-direct,Directory record has direct-contact signals and may be treated like a provider.,Remove direct-contact signals from directories and only expose website navigation.,critical,6600,high: directory-treated-direct; provider details need manual verification,https://www.familyservices.govt.nz/directory/; https://www.justice.govt.nz/family/family-court/help/general-help-and-services-for-you-and-your-whanau/organisations-to-help-you/,source-fit audit: Directory record has direct-contact signals and may be treated like a provider.,"Family Services Directory / 211 Helpline National / Aotearoa New Zealand A way to find local community, health, social, family, and practical support services. Call and ask for mental health, counselling, family, housing, or financial support near you. Free navigation Availability: not_published",,{},,,
discovery:suggestion:phone:03 217 4863,Discovery source conflict,gp-glengarry-medical-centre-46-4018-168-3855,Glengarry Medical Centre,,Glengarry Medical Centre,gp,Southland,Invercargill,"75 Glengarry Crescent, Glengarry, Invercargill 9810",,,03 217 4863,,,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/glengarry-medical-centre/,,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/glengarry-medical-centre/,google_places,low,true,,,not_published,,,,true,,,,,,,,,,,,,,,,,,,,false,false,true,false,high,discovery-suggestion; needs_manual_research; conflict-name; conflict-practiceName; conflict-address; conflict-phone; conflict-website; conflict-source; conflict-city; conflict-region,"conflicting name, practiceName, address, phone, website, source, city, region values; existing provider enrichment; source-fit: low weak-gp-source - GP record uses a third-party or generic source and is missing either phone or website.; review queue critical: provider discovery suggestion; conflicting source values; no direct public contact found; seed source login-or-captcha-required; conflicting fields: source; review queue critical: provider discovery suggestion; conflicting name, practiceName, address, phone, website, source, city, region values; existing provider enrichment; source-fit: low weak-gp-source - GP record uses a third-party or generic source and is missing either phone or website.; review queue low: low: weak-gp-source; provider details need manual verification; availability needs manual review; search-result, Google Places, LinkedIn, or unknown-source data cannot create a live provider; conflicting fields: name, practiceName, address, phone, website, source, city, region; review queue high: Google Places discovery candidate; Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; GP source corroboration task | GP record needs stronger corroboration: missing website; DoctorPricer-derived source. | missing fields: website | Google Places discovery/corroboration only; target GP source-corroboration provider: gp-glengarry-medical-centre-46-4018-168-3855; Google Places result is 0 km from the query centre.; possible existing provider match: gp-glengarry-medical-centre-46-4018-168-3855; review queue low: low: weak-gp-source; provider details need manual verification; availability needs manual review; search-result, Google Places, LinkedIn, or unknown-source data cannot create a live provider; conflicting fields: name, practiceName, address, phone, website, source, city, region","Review source evidence, then approve/adjust/reject through the controlled review decision workflow.",critical,2950,"provider discovery suggestion; conflicting name, practiceName, address, phone, website, source, city, region values; existing provider enrichment; source-fit: low weak-gp-source - GP record uses a third-party or generic source and is missing either phone or website.; review queue critical: provider discovery suggestion; conflicting source values; no direct public contact found; seed source login-or-captcha-required; conflicting fields: source; review queue critical: provider discovery suggestion; conflicting name, practiceName, address, phone, website, source, city, region values; existing provider enrichment; source-fit: low weak-gp-source - GP record uses a third-party or generic source and is missing either phone or website.; review queue low: low: weak-gp-source; provider details need manual verification; availability needs manual review; search-result, Google Places, LinkedIn, or unknown-source data cannot create a live provider; conflicting fields: name, practiceName, address, phone, website, source, city, region; review queue high: Google Places discovery candidate; Google Places is a discovery/corroboration source, not enough by itself for live recommendations.; Confirm provider type, services, availability, cost, referral pathway, and support-preference tags from stronger public sources.; GP source corroboration task | GP record needs stronger corroboration: missing website; DoctorPricer-derived source. | missing fields: website | Google Places discovery/corroboration only; target GP source-corroboration provider: gp-glengarry-medical-centre-46-4018-168-3855; Google Places result is 0 km from the query centre.; possible existing provider match: gp-glengarry-medical-centre-46-4018-168-3855; review queue low: low: weak-gp-source; provider details need manual verification; availability needs manual review; search-result, Google Places, LinkedIn, or unknown-source data cannot create a live provider; conflicting fields: name, practiceName, address, phone, website, source, city, region",https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/glengarry-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/james-street-doctors/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/the-nest-health-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/tukapa-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/donovan-street-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/eastern-family-doctors/; http://www.healthpoint.co.nz/doctors/gp/mangere-east-medical-centre/; https://www.healthpoint.co.nz/doctors/gp/penrose-clinic/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/all-care-family-medical-centre-ponsonby-1/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/eltham-health-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/k-road-medical-centre/; https://www.healthpoint.co.nz/doctors/general-practitioner/dr-weng-key-chan/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/commercial-street-surgery/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/hikurangi-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/city-west-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/duke-st-health-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/waikiwi-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/lakeview-clinic/; http://www.healthpoint.co.nz/doctors/gp/fellbrook-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/the-wood-street-doctors/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/surrey-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/puhinui-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/russell-medical-services/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/eastside-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/gilmore-family-medical/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/avalon-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/pukekohe-family-doctors-1/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/helensburgh-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/green-cross-clinic/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/parnell-family-doctor-1/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/te-aroha-noa-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/te-korowai-hauora-o-hauraki-paeroa/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/kelburn-gps/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/regan-street-health-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/otautau-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/bluff-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/family-health-care-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/waiake-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/city-medical-centre-gisborne/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/temuka-family-practice/; http://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/bellomo-family-health; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/paihia-medical-services/; http://www.healthpoint.co.nz/doctors/gp/hillside-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/de-lautour-medical/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/dr-npe-schofield/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/uawa-community-health-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/coast-to-coast-health-care/at/maungaturoto-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/all-care-family-medical-centre-northcote/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/gordon-road-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/onehunga-family-medical-centre; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/healthcare-roskill-south/; http://www.healthpoint.co.nz/doctors/gp/newton-medical-centre/; http://www.healthpoint.co.nz/doctors/gp/forrest-hill-family-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/clevedon-road-medical-centre-1/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/rosebank-road-medical-services-ltd/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/broadway-medical-chambers/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/archers-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/otago-peninsula-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/rata-family-health-dr-mathieson/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/ngunguru-medical-centre/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/howick-medical-practice/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/general-practitioner/dr-jeffrey-fetherston/; https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/alberton-medical-practice/; https://doctorpricer.co.nz/,Sources: Google Places business listing | Evidence: Seed value from google places candidate export: 03 217 4863,Glengarry Medical Centre Southland / Invercargill Availability: not_published,,"{""phone"":""03 217 4863"",""website"":""https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/glengarry-medical-centre/"",""address"":""75 Glengarry Crescent, Glengarry, Invercargill 9810"",""practiceName"":""Glengarry Medical Centre""}",,,
discovery:suggestion:phone:09 836 4898,Discovery source conflict,gp-palomino-medical-centre-36-8830-174-6152,Palomino Medical Centre,Dr Jason Hasan,Palomino Medical Centre,gp,Auckland,Henderson,"138 Sturges Road, Henderson",,,09) 836 4898,,,http://www.palominomedical.co.nz/,https://www.facebook.com/Palominomedical/,http://www.palominomedical.co.nz/,"google_places, provider_owned",high,true,,,not_published,,,,true,,,,,,,,,,,,,,,,,,,,false,false,true,false,high,discovery-suggestion; needs_manual_research; conflict-address; conflict-phone,"conflicting address, phone values; extracted from seed source provider_owned; conflicting fields: address, phone","Review source evidence, then approve/adjust/reject through the controlled review decision workflow.",critical,2850,"provider discovery suggestion; conflicting address, phone values; extracted from seed source provider_owned; conflicting fields: address, phone",http://www.palominomedical.co.nz/; https://palominomedical.co.nz/; https://www.facebook.com/Palominomedical/,"Sources: Google Places business listing, provider-owned page | Evidence: Seed value from google places candidate export: 09 836 4898","Dr Jason Hasan, Palomino Medical Centre Auckland / Henderson Availability: not_published",,"{""phone"":""09) 836 4898"",""website"":""http://www.palominomedical.co.nz/"",""bookingUrl"":""https://www.facebook.com/Palominomedical/"",""address"":""138 Sturges Road, Henderson"",""clinicianName"":""Dr Jason Hasan"",""practiceName"":""Palomino Medical Centre""}",,,
discovery:suggestion:phone:09 280 3555,Discovery source conflict,gp-the-auckland-city-doctors-36-8570-174-7616,"Your local, most trusted",,"Your local, most trusted",gp,Auckland,Auckland,"427 Queen Street, Auckland CBD HOME IMMIGRATION ACC OCCUPAT",,,09 280 3555,,,https://www.health.govt.nz/our-work/preventative-health-wellness/immunisation/new-zealand-immunisation-schedule,,http://www.akcitydoc.co.nz/,"google_places, provider_owned",high,true,,,not_published,,,,true,,,,,,,,depression,,,,,depression,,,depression,,,"Children,Adolescents,Adults",false,false,true,false,high,discovery-suggestion; needs_manual_research; conflict-name; conflict-practiceName; conflict-address; conflict-phone; conflict-website,"conflicting name, practiceName, address, phone, website values; extracted from seed source provider_owned; conflicting fields: name, practiceName, address, phone, website","Review source evidence, then approve/adjust/reject through the controlled review decision workflow.",critical,2850,"provider discovery suggestion; conflicting name, practiceName, address, phone, website values; extracted from seed source provider_owned; conflicting fields: name, practiceName, address, phone, website",http://www.akcitydoc.co.nz/; https://www.akcitydoc.co.nz/; https://www.health.govt.nz/our-work/preventative-health-wellness/immunisation/new-zealand-immunisation-schedule,"Sources: Google Places business listing, provider-owned page | Evidence: Seed value from google places candidate export: 09 280 3555","Your local, most trusted Auckland / Auckland X-ray (Limited $200) Further Assessment consultation $110 For Immigration Chest Xray only $135 Register patient fees:$19.50 (include ACC patient) For doctor consultation Funded Patient for GP consultation Under 12 years old - FREE 12 -17 years old $23.50 17+ years old $30 Casual/Visitor Consultation $110 Funded Patient $30 Driving medical Availability: not_published",,"{""phone"":""09 280 3555"",""website"":""https://www.health.govt.nz/our-work/preventative-health-wellness/immunisation/new-zealand-immunisation-schedule"",""address"":""427 Queen Street, Auckland CBD HOME IMMIGRATION ACC OCCUPAT"",""practiceName"":""Your local, most trusted""}",,,
discovery:suggestion:phone:03 358 3300,Discovery source conflict,gp-avonhead-surgery-43-5130-172-5553,Avonhead Surgery,Dr Kathy Davey,Avonhead Surgery,gp,Canterbury,Christchurch,"182 Withells Road, Avonhead",,,03 358 3300,,,http://www.avonheadsurgery.co.nz/,https://www.managemyhealth.co.nz/m/easybooking/43824,http://www.avonheadsurgery.co.nz/,"google_places, provider_owned",high,true,,,not_published,,,,true,,,,,,,,,,,,,,,,,,,,false,false,true,false,high,discovery-suggestion; needs_manual_research; conflict-address; conflict-phone; conflict-source,"conflicting address, phone, source values; extracted from seed source provider_owned; conflicting fields: address, phone, source","Review source evidence, then approve/adjust/reject through the controlled review decision workflow.",critical,2850,"provider discovery suggestion; conflicting address, phone, source values; extracted from seed source provider_owned; conflicting fields: address, phone, source",http://www.avonheadsurgery.co.nz/; https://doctorpricer.co.nz/; https://www.avonheadsurgery.co.nz/; https://www.managemyhealth.co.nz/m/easybooking/43824,"Sources: Google Places business listing, provider-owned page | Evidence: Seed value from google places candidate export: 03 358 3300","Dr Kathy Davey, Avonhead Surgery Canterbury / Christchurch Availability: not_published",,"{""website"":""http://www.avonheadsurgery.co.nz/"",""bookingUrl"":""https://www.managemyhealth.co.nz/m/easybooking/43824"",""address"":""182 Withells Road, Avonhead"",""clinicianName"":""Dr Kathy Davey"",""practiceName"":""Avonhead Surgery""}",,,
discovery:suggestion:phone:09 435 2528,Discovery source conflict,gp-the-doctors-tikipunga-35-6835-174-3230,The Doctors Tikipunga,Dr Sara Samuelu,The Doctors Tikipunga,gp,Northland,Whangārei,53 Paramount Parade,,,0112 09 435 25,,admin@tiki.thedoctors.co.nz,http://www.thedoctors.co.nz/The-Doctors-Tikipunga,https://www.thedoctors.co.nz/book-appointment,http://www.thedoctors.co.nz/The-Doctors-Tikipunga,"google_places, provider_owned",high,true,,,not_published,,,,true,,,,,,,,maori,,,,,,,,,,,"Children,Adolescents",false,false,true,false,high,discovery-suggestion; needs_manual_research; conflict-address; conflict-phone,"conflicting address, phone values; extracted from seed source provider_owned; conflicting fields: address, phone","Review source evidence, then approve/adjust/reject through the controlled review decision workflow.",critical,2850,"provider discovery suggestion; conflicting address, phone values; extracted from seed source provider_owned; conflicting fields: address, phone",http://www.thedoctors.co.nz/The-Doctors-Tikipunga; https://www.thedoctors.co.nz/The-Doctors-Tikipunga; https://www.thedoctors.co.nz/book-appointment,"Sources: Google Places business listing, provider-owned page | Evidence: Seed value from google places candidate export: 09 435 2528","Dr Sara Samuelu, The Doctors Tikipunga Northland / Whangārei liver Munn More Info Karen Ludeman More Info Thea Martinez More Info Stacey Lewin More Info Appointment Fees Payment T & Cs Doctor Consult Enrolled Age Standard CSC 0-13 Free Free 14-17 $13.50 $13.50 18+ $30.50 $20.00 Casual Age Standard CSC 0-13 Free Free 14-17 $45.00 $25.00 18+ $85.00 $65.00 Nurse Consult Enrolled Age Standard 0-13 Free Availability: not_published",,"{""phone"":""0112 09 435 25"",""email"":""admin@tiki.thedoctors.co.nz"",""website"":""http://www.thedoctors.co.nz/The-Doctors-Tikipunga"",""bookingUrl"":""https://www.thedoctors.co.nz/book-appointment"",""address"":""53 Paramount Parade"",""clinicianName"":""Dr Sara Samuelu"",""practiceName"":""The Doctors Tikipunga""}",,,
discovery:suggestion:phone:03 454 3001,Discovery source conflict,gp-waverley-health-45-8856-170-5281,Waverley Health,Dr Rahul Prasad,Waverley Health,gp,Otago,Dunedin,97 Larnach Road,,,03 454 3001,,reception@waverleyhealth.co.nz,http://waverleyhealth.co.nz/,https://bookmyvaccine.covid19.health.nz/,http://waverleyhealth.co.nz/,"google_places, provider_owned",high,true,,,not_published,,,,true,,,,,,,,,,,,,,,,,,,,false,false,true,false,high,discovery-suggestion; needs_manual_research; conflict-address; conflict-phone,"conflicting address, phone values; extracted from seed source provider_owned; conflicting fields: address, phone","Review source evidence, then approve/adjust/reject through the controlled review decision workflow.",critical,2850,"provider discovery suggestion; conflicting address, phone values; extracted from seed source provider_owned; conflicting fields: address, phone",http://waverleyhealth.co.nz/; https://waverleyhealth.co.nz/; https://bookmyvaccine.covid19.health.nz/,"Sources: Google Places business listing, provider-owned page | Evidence: Seed value from google places candidate export: 03 454 3001","Dr Rahul Prasad, Waverley Health Otago / Dunedin ey Health Services and fees Separated link --> Health Care Online Health Links Contact 03 454 3001 Everyone in Aotearoa New Zealand aged 12 years and over can book their free COVID-19 vaccination now. Book Now --> For the latest information on COVID-19 visit the Ministry of Health website . Measles Campaign All people aged between 15 to 3 Availability: not_published",,"{""phone"":""03 454 3001"",""email"":""reception@waverleyhealth.co.nz"",""website"":""http://waverleyhealth.co.nz/"",""bookingUrl"":""https://bookmyvaccine.covid19.health.nz/"",""address"":""97 Larnach Road"",""clinicianName"":""Dr Rahul Prasad"",""practiceName"":""Waverley Health""}",,,
discovery:suggestion:phone:09 523 3488,Discovery source conflict,gp-the-lakes-clinic-epsom-previously-epsom-medical-care-36-8863-174-7758,Epsom Medical Care,,Epsom Medical Care,gp,Auckland,Epsom,"272 Manukau Road, Epsom",,,09 523 3488,,,https://lakesclinicepsom.co.nz/,https://www.facebook.com/hamiltonlakeclinic/,https://lakesclinicepsom.co.nz/,"google_places, provider_owned",high,true,,,not_published,,,,true,,,,,,,,work,,,,,work,,,work,,,,false,false,true,false,high,discovery-suggestion; needs_manual_research; conflict-address; conflict-phone,"conflicting address, phone values; extracted from seed source provider_owned; conflicting fields: address, phone","Review source evidence, then approve/adjust/reject through the controlled review decision workflow.",critical,2826,"provider discovery suggestion; conflicting address, phone values; extracted from seed source provider_owned; conflicting fields: address, phone",https://lakesclinicepsom.co.nz/; https://www.facebook.com/hamiltonlakeclinic/,"Sources: Google Places business listing, provider-owned page | Evidence: Seed value from google places candidate export: 09 523 3488",Epsom Medical Care Auckland / Epsom Availability: not_published,,"{""phone"":""09 523 3488"",""website"":""https://lakesclinicepsom.co.nz/"",""bookingUrl"":""https://www.facebook.com/hamiltonlakeclinic/"",""address"":""272 Manukau Road, Epsom"",""practiceName"":""Epsom Medical Care""}",,,
discovery:suggestion:phone:03 388 9120,Discovery source conflict,gp-qe2-medical-centre-43-4950-172-7112,QE2 Medical Centre,Dr Andrew McGuire,QE2 Medical Centre,gp,Canterbury,Christchurch,401 Madras Street,,,03 388 9120,,reception@qe2medical.pegasus.net.nz,http://www.qe2mc.co.nz/,,http://www.qe2mc.co.nz/,"google_places, provider_owned",high,true,,,not_published,,,,true,,,,,,,,,,,,,,,,,,,,false,false,true,false,high,discovery-suggestion; needs_manual_research; conflict-name; conflict-practiceName; conflict-address; conflict-phone,"conflicting name, practiceName, address, phone values; extracted from seed source provider_owned; conflicting fields: name, practiceName, address, phone","Review source evidence, then approve/adjust/reject through the controlled review decision workflow.",critical,2810,"provider discovery suggestion; conflicting name, practiceName, address, phone values; extracted from seed source provider_owned; conflicting fields: name, practiceName, address, phone",http://www.qe2mc.co.nz/,"Sources: Google Places business listing, provider-owned page | Evidence: Seed value from google places candidate export: 03 388 9120","Dr Andrew McGuire, QE2 Medical Centre Canterbury / Christchurch Availability: not_published",,"{""phone"":""03 388 9120"",""email"":""reception@qe2medical.pegasus.net.nz"",""website"":""http://www.qe2mc.co.nz/"",""address"":""401 Madras Street"",""clinicianName"":""Dr Andrew McGuire"",""practiceName"":""QE2 Medical Centre""}",,,
